episode,reward,steps
1,0.0,6
2,0.0,4
3,0.0,3
4,0.0,5
5,0.0,9
6,0.0,19
7,0.0,4
8,0.0,2
9,0.0,2
10,0.0,7
11,0.0,9
12,0.0,7
13,0.0,13
14,0.0,2
15,0.0,14
16,0.0,5
17,0.0,18
18,0.0,14
19,0.0,4
20,0.0,10
21,0.0,6
22,0.0,9
23,0.0,6
24,0.0,37
25,0.0,4
26,0.0,17
27,0.0,7
28,0.0,6
29,0.0,4
30,0.0,2
31,0.0,4
32,0.0,10
33,0.0,4
34,0.0,2
35,0.0,9
36,0.0,5
37,0.0,8
38,0.0,8
39,0.0,14
40,0.0,6
41,0.0,3
42,0.0,7
43,0.0,2
44,0.0,2
45,1.0,8
46,0.0,9
47,0.0,4
48,0.0,3
49,0.0,10
50,0.0,9
51,0.0,13
52,0.0,2
53,0.0,4
54,0.0,5
55,0.0,13
56,0.0,3
57,0.0,10
58,0.0,14
59,0.0,5
60,0.0,3
61,0.0,6
62,0.0,14
63,0.0,7
64,0.0,16
65,0.0,6
66,0.0,12
67,0.0,5
68,0.0,11
69,0.0,3
70,0.0,2
71,0.0,11
72,0.0,6
73,0.0,5
74,0.0,6
75,0.0,3
76,0.0,4
77,0.0,6
78,0.0,25
79,0.0,4
80,0.0,12
81,0.0,17
82,0.0,8
83,0.0,9
84,0.0,2
85,0.0,8
86,0.0,4
87,0.0,8
88,0.0,13
89,0.0,13
90,0.0,33
91,0.0,3
92,0.0,15
93,0.0,10
94,0.0,9
95,0.0,20
96,0.0,2
97,0.0,9
98,0.0,6
99,0.0,7
100,0.0,10
101,0.0,3
102,0.0,8
103,0.0,3
104,0.0,7
105,0.0,17
106,0.0,19
107,0.0,13
108,0.0,3
109,0.0,11
110,0.0,4
111,0.0,3
112,0.0,4
113,0.0,3
114,0.0,8
115,0.0,20
116,0.0,32
117,0.0,2
118,0.0,12
119,0.0,10
120,0.0,12
121,0.0,6
122,0.0,3
123,0.0,17
124,0.0,3
125,0.0,6
126,0.0,6
127,0.0,13
128,0.0,2
129,0.0,6
130,0.0,9
131,0.0,7
132,0.0,17
133,0.0,8
134,0.0,6
135,1.0,12
136,0.0,9
137,0.0,5
138,0.0,4
139,0.0,7
140,0.0,16
141,0.0,8
142,0.0,12
143,0.0,13
144,0.0,4
145,0.0,2
146,0.0,11
147,0.0,7
148,0.0,8
149,0.0,3
150,0.0,6
151,0.0,11
152,0.0,21
153,0.0,3
154,0.0,5
155,0.0,6
156,0.0,3
157,0.0,2
158,1.0,13
159,0.0,34
160,0.0,8
161,0.0,7
162,0.0,4
163,0.0,6
164,0.0,8
165,0.0,8
166,0.0,15
167,0.0,7
168,0.0,2
169,0.0,5
170,0.0,2
171,0.0,2
172,0.0,7
173,0.0,5
174,0.0,5
175,0.0,11
176,0.0,3
177,0.0,10
178,0.0,4
179,0.0,9
180,0.0,8
181,0.0,2
182,0.0,5
183,0.0,23
184,0.0,9
185,0.0,8
186,0.0,17
187,0.0,12
188,0.0,9
189,0.0,3
190,0.0,17
191,0.0,7
192,0.0,3
193,0.0,10
194,0.0,3
195,0.0,11
196,0.0,7
197,0.0,4
198,0.0,13
199,0.0,5
200,0.0,2
201,0.0,2
202,0.0,4
203,0.0,2
204,0.0,7
205,0.0,9
206,0.0,6
207,1.0,8
208,0.0,7
209,0.0,4
210,0.0,16
211,0.0,4
212,0.0,12
213,0.0,3
214,0.0,13
215,0.0,7
216,0.0,2
217,0.0,21
218,0.0,7
219,0.0,11
220,0.0,14
221,0.0,7
222,0.0,6
223,0.0,5
224,0.0,10
225,0.0,5
226,0.0,8
227,0.0,15
228,0.0,13
229,0.0,13
230,0.0,6
231,0.0,4
232,0.0,8
233,0.0,3
234,0.0,9
235,0.0,9
236,0.0,8
237,0.0,3
238,0.0,10
239,0.0,4
240,0.0,5
241,0.0,8
242,0.0,2
243,0.0,2
244,0.0,10
245,0.0,6
246,0.0,11
247,0.0,2
248,0.0,2
249,0.0,7
250,0.0,4
251,0.0,4
252,0.0,5
253,0.0,5
254,0.0,8
255,0.0,6
256,0.0,35
257,0.0,3
258,0.0,11
259,0.0,6
260,0.0,7
261,0.0,3
262,0.0,12
263,0.0,6
264,0.0,6
265,1.0,11
266,0.0,12
267,0.0,2
268,0.0,10
269,0.0,10
270,0.0,5
271,0.0,6
272,0.0,7
273,0.0,7
274,0.0,10
275,0.0,12
276,0.0,6
277,0.0,13
278,0.0,16
279,0.0,6
280,0.0,4
281,0.0,3
282,0.0,22
283,0.0,9
284,0.0,2
285,0.0,2
286,0.0,4
287,0.0,10
288,0.0,9
289,0.0,7
290,0.0,6
291,0.0,10
292,0.0,11
293,0.0,3
294,0.0,14
295,0.0,4
296,0.0,5
297,0.0,40
298,0.0,26
299,0.0,10
300,0.0,15
301,0.0,13
302,0.0,10
303,0.0,9
304,0.0,3
305,0.0,2
306,0.0,8
307,0.0,3
308,0.0,18
309,0.0,9
310,0.0,9
311,0.0,5
312,0.0,9
313,0.0,7
314,0.0,9
315,0.0,3
316,0.0,3
317,0.0,5
318,0.0,7
319,0.0,9
320,0.0,20
321,0.0,2
322,0.0,8
323,0.0,3
324,0.0,4
325,0.0,9
326,0.0,8
327,0.0,10
328,0.0,14
329,0.0,17
330,0.0,4
331,0.0,3
332,0.0,7
333,0.0,6
334,0.0,14
335,0.0,7
336,0.0,17
337,0.0,5
338,0.0,2
339,0.0,11
340,0.0,8
341,0.0,20
342,0.0,6
343,0.0,5
344,0.0,11
345,0.0,7
346,0.0,8
347,0.0,13
348,0.0,15
349,0.0,4
350,0.0,2
351,0.0,2
352,0.0,11
353,0.0,11
354,0.0,20
355,0.0,11
356,0.0,6
357,0.0,26
358,0.0,2
359,0.0,6
360,0.0,10
361,0.0,6
362,0.0,8
363,0.0,4
364,0.0,3
365,0.0,13
366,0.0,7
367,0.0,4
368,1.0,7
369,0.0,3
370,0.0,20
371,0.0,18
372,0.0,21
373,0.0,2
374,0.0,11
375,0.0,2
376,0.0,3
377,0.0,3
378,0.0,4
379,1.0,9
380,1.0,8
381,0.0,10
382,0.0,7
383,0.0,6
384,0.0,9
385,0.0,5
386,0.0,5
387,0.0,2
388,1.0,15
389,0.0,7
390,0.0,3
391,0.0,12
392,0.0,10
393,0.0,2
394,0.0,7
395,0.0,7
396,0.0,5
397,0.0,5
398,0.0,4
399,0.0,6
400,0.0,10
401,0.0,7
402,0.0,3
403,0.0,9
404,0.0,12
405,0.0,16
406,0.0,11
407,0.0,7
408,0.0,6
409,0.0,13
410,0.0,3
411,0.0,11
412,1.0,23
413,0.0,6
414,0.0,2
415,0.0,5
416,0.0,6
417,0.0,18
418,0.0,8
419,0.0,22
420,0.0,21
421,0.0,4
422,0.0,9
423,0.0,7
424,0.0,2
425,0.0,14
426,0.0,8
427,0.0,12
428,0.0,8
429,1.0,14
430,0.0,12
431,0.0,2
432,0.0,6
433,0.0,4
434,0.0,2
435,0.0,9
436,0.0,8
437,0.0,14
438,0.0,2
439,0.0,13
440,0.0,2
441,0.0,8
442,0.0,8
443,0.0,10
444,0.0,7
445,0.0,3
446,0.0,9
447,0.0,21
448,0.0,15
449,0.0,34
450,0.0,10
451,0.0,12
452,0.0,5
453,0.0,4
454,0.0,14
455,0.0,9
456,1.0,11
457,0.0,4
458,0.0,20
459,0.0,12
460,0.0,11
461,0.0,10
462,0.0,11
463,0.0,7
464,0.0,9
465,0.0,21
466,1.0,16
467,0.0,16
468,0.0,10
469,0.0,7
470,0.0,6
471,0.0,18
472,0.0,3
473,0.0,2
474,0.0,7
475,0.0,12
476,0.0,18
477,0.0,5
478,0.0,9
479,0.0,6
480,0.0,2
481,0.0,2
482,0.0,8
483,0.0,16
484,0.0,16
485,0.0,3
486,0.0,4
487,0.0,3
488,0.0,12
489,0.0,15
490,0.0,25
491,0.0,2
492,0.0,4
493,0.0,6
494,0.0,8
495,0.0,2
496,0.0,3
497,0.0,3
498,0.0,10
499,0.0,6
500,0.0,33
501,0.0,8
502,0.0,11
503,0.0,8
504,0.0,16
505,0.0,10
506,0.0,31
507,0.0,7
508,0.0,11
509,0.0,4
510,0.0,6
511,0.0,9
512,0.0,3
513,0.0,2
514,0.0,15
515,0.0,11
516,0.0,21
517,0.0,4
518,0.0,7
519,0.0,9
520,0.0,4
521,0.0,8
522,0.0,36
523,0.0,6
524,0.0,17
525,1.0,13
526,0.0,4
527,0.0,4
528,0.0,6
529,0.0,6
530,0.0,7
531,0.0,17
532,0.0,4
533,0.0,14
534,0.0,8
535,0.0,12
536,0.0,7
537,0.0,19
538,1.0,12
539,0.0,4
540,0.0,5
541,0.0,6
542,0.0,2
543,0.0,3
544,0.0,10
545,0.0,5
546,0.0,6
547,0.0,7
548,0.0,6
549,0.0,10
550,0.0,17
551,0.0,10
552,0.0,4
553,0.0,7
554,0.0,5
555,0.0,13
556,0.0,2
557,0.0,9
558,0.0,6
559,0.0,18
560,0.0,18
561,0.0,5
562,0.0,11
563,0.0,3
564,0.0,11
565,0.0,12
566,0.0,2
567,0.0,13
568,0.0,3
569,0.0,5
570,0.0,15
571,0.0,22
572,0.0,15
573,0.0,17
574,0.0,3
575,0.0,6
576,0.0,8
577,0.0,9
578,0.0,15
579,0.0,5
580,0.0,4
581,0.0,26
582,0.0,8
583,0.0,10
584,0.0,5
585,1.0,8
586,0.0,25
587,0.0,8
588,1.0,19
589,0.0,8
590,0.0,5
591,0.0,7
592,0.0,2
593,0.0,5
594,0.0,7
595,1.0,36
596,0.0,4
597,0.0,15
598,0.0,5
599,0.0,22
600,0.0,12
601,0.0,5
602,0.0,4
603,0.0,18
604,0.0,11
605,0.0,5
606,0.0,6
607,0.0,26
608,0.0,11
609,0.0,5
610,0.0,10
611,0.0,4
612,1.0,20
613,0.0,37
614,0.0,8
615,0.0,8
616,0.0,4
617,0.0,17
618,0.0,15
619,0.0,10
620,1.0,14
621,0.0,7
622,0.0,3
623,0.0,8
624,0.0,8
625,0.0,12
626,0.0,3
627,0.0,8
628,0.0,31
629,0.0,13
630,0.0,6
631,1.0,11
632,0.0,6
633,0.0,10
634,0.0,10
635,0.0,5
636,0.0,10
637,0.0,25
638,0.0,12
639,0.0,2
640,0.0,9
641,0.0,6
642,0.0,7
643,0.0,15
644,0.0,21
645,0.0,7
646,0.0,23
647,0.0,24
648,0.0,12
649,0.0,4
650,0.0,5
651,0.0,2
652,0.0,19
653,0.0,5
654,0.0,5
655,0.0,2
656,0.0,2
657,0.0,9
658,0.0,19
659,0.0,4
660,0.0,6
661,0.0,31
662,0.0,14
663,0.0,14
664,0.0,6
665,0.0,8
666,0.0,4
667,0.0,27
668,0.0,8
669,0.0,9
670,0.0,7
671,0.0,7
672,0.0,23
