alpha,gamma,epsilon_start,epsilon_min,epsilon_decay,success_rate_mean,success_rate_std,avg_reward_mean,avg_reward_std,n_trials
0.05,0.9,1.0,0.01,0.999,0.5733333333333334,0.12256517540566823,0.5733333333333334,0.12256517540566823,3
0.05,0.9,1.0,0.01,0.9995,0.5366666666666666,0.09809292646374776,0.5366666666666666,0.09809292646374776,3
0.05,0.9,1.0,0.01,0.9998,0.6,0.14165686240583855,0.6,0.14165686240583855,3
0.05,0.95,1.0,0.01,0.999,0.7200000000000001,0.014142135623730965,0.7200000000000001,0.014142135623730965,3
0.05,0.95,1.0,0.01,0.9995,0.7133333333333333,0.057348835113617505,0.7133333333333333,0.057348835113617505,3
0.05,0.95,1.0,0.01,0.9998,0.68,0.08485281374238568,0.68,0.08485281374238568,3
0.05,0.99,1.0,0.01,0.999,0.71,0.029439202887759468,0.71,0.029439202887759468,3
0.05,0.99,1.0,0.01,0.9995,0.7533333333333333,0.028674417556808784,0.7533333333333333,0.028674417556808784,3
0.05,0.99,1.0,0.01,0.9998,0.7666666666666666,0.02867441755680878,0.7666666666666666,0.02867441755680878,3
0.1,0.9,1.0,0.01,0.999,0.4033333333333333,0.1586050300449376,0.4033333333333333,0.1586050300449376,3
0.1,0.9,1.0,0.01,0.9995,0.64,0.17907168024751058,0.64,0.17907168024751058,3
0.1,0.9,1.0,0.01,0.9998,0.4166666666666667,0.22216110270602177,0.4166666666666667,0.22216110270602177,3
0.1,0.95,1.0,0.01,0.999,0.7766666666666667,0.041899350299921784,0.7766666666666667,0.041899350299921784,3
0.1,0.95,1.0,0.01,0.9995,0.7266666666666667,0.09533566430716728,0.7266666666666667,0.09533566430716728,3
0.1,0.95,1.0,0.01,0.9998,0.64,0.07788880963698612,0.64,0.07788880963698612,3
0.1,0.99,1.0,0.01,0.999,0.6266666666666666,0.16048537489614295,0.6266666666666666,0.16048537489614295,3
0.1,0.99,1.0,0.01,0.9995,0.75,0.0355902608401044,0.75,0.0355902608401044,3
0.1,0.99,1.0,0.01,0.9998,0.6466666666666666,0.06944222218666551,0.6466666666666666,0.06944222218666551,3
0.2,0.9,1.0,0.01,0.999,0.48666666666666664,0.15542057635833026,0.48666666666666664,0.15542057635833026,3
0.2,0.9,1.0,0.01,0.9995,0.52,0.061644140029689744,0.52,0.061644140029689744,3
0.2,0.9,1.0,0.01,0.9998,0.5666666666666667,0.2666249967442829,0.5666666666666667,0.2666249967442829,3
0.2,0.95,1.0,0.01,0.999,0.6633333333333333,0.11556623882239811,0.6633333333333333,0.11556623882239811,3
0.2,0.95,1.0,0.01,0.9995,0.6233333333333334,0.17211107524567448,0.6233333333333334,0.17211107524567448,3
0.2,0.95,1.0,0.01,0.9998,0.6833333333333332,0.04921607686744466,0.6833333333333332,0.04921607686744466,3
0.2,0.99,1.0,0.01,0.999,0.68,0.05099019513592784,0.68,0.05099019513592784,3
0.2,0.99,1.0,0.01,0.9995,0.5766666666666667,0.1307244770075172,0.5766666666666667,0.1307244770075172,3
0.2,0.99,1.0,0.01,0.9998,0.5333333333333333,0.04642796092394707,0.5333333333333333,0.04642796092394707,3
0.3,0.9,1.0,0.01,0.999,0.3333333333333333,0.21638443156156645,0.3333333333333333,0.21638443156156645,3
0.3,0.9,1.0,0.01,0.9995,0.20666666666666667,0.14659088951530677,0.20666666666666667,0.14659088951530677,3
0.3,0.9,1.0,0.01,0.9998,0.18333333333333332,0.060184900284225955,0.18333333333333332,0.060184900284225955,3
0.3,0.95,1.0,0.01,0.999,0.6166666666666667,0.06182412330330469,0.6166666666666667,0.06182412330330469,3
0.3,0.95,1.0,0.01,0.9995,0.6166666666666666,0.0524933858267454,0.6166666666666666,0.0524933858267454,3
0.3,0.95,1.0,0.01,0.9998,0.59,0.05715476066494083,0.59,0.05715476066494083,3
0.3,0.99,1.0,0.01,0.999,0.6566666666666666,0.05436502143433363,0.6566666666666666,0.05436502143433363,3
0.3,0.99,1.0,0.01,0.9995,0.7633333333333333,0.030912061651652372,0.7633333333333333,0.030912061651652372,3
0.3,0.99,1.0,0.01,0.9998,0.5333333333333333,0.28592928418676455,0.5333333333333333,0.28592928418676455,3
